IRSZ;nev;utotag;ker
1185;Barcika;tér;XVIII
1039;Bárczi Géza;utca;III
1052;Bárczy István;utca;V
1192;Bárczy István;tér;XIX
1212;Barcs;tér;XXI
1073;Barcsay;utca;VII
1181;Barcsay;utca;XVIII
1097;Bárd;utca;IX
1041;Bárdos Artúr;utca;IV
1224;Barka;utca;XXII
1131;Bárka;utca;XIII
1221;Barkács;utca;XXII
1201;Barkó;utca;XX
1025;Barlang;utca;II
1171;Barnabás;utca;XVII
1149;Báróczy;utca;XIV
1039;Baross;utca;III
1047;Baross;utca;IV
1077;Baross;tér;VII
1082;Baross;utca;VIII
1083;Baross;utca;VIII
1085;Baross;utca;VIII
1086;Baross;utca;VIII
1087;Baross;tér;VIII
1089;Baross;utca;VIII
1161;Baross;utca;XVI
1162;Baross;utca;XVI
1174;Baross;utca;XVII
1181;Baross;utca;XVIII
1192;Baross;utca;XIX
1201;Baross;utca;XX
1203;Baross;utca;XX
1221;Baross;utca;XXII
1165;Baross Gábor;utca;XVI
1221;Barót;köz;XXII
1022;Barsi;utca;II
1163;Bársony István;utca;XVI
1037;Bársonyka;utca;III
1163;Bársonyos;utca;XVI
1106;Bársonyvirág;utca;X
1181;Barta Lajos;utca;XVIII
1162;Bártfa;utca;XVI
1185;Bártfa;utca;XVIII
1204;Bártfa;utca;XX
1222;Bártfa;utca;XXII
1115;Bártfai;utca;XI
1119;Bártfai;utca;XI
1172;Bártfai;utca;XVII
1119;Bártfai;köz;XI
1126;Bartha;utca;XII
1149;Bartl János;utca;XIV
1111;Bartók Béla;út;XI
1113;Bartók Béla;út;XI
1114;Bartók Béla;út;XI
1115;Bartók Béla;út;XI
1151;Bartók Béla;utca;XV
1172;Bartók Béla;utca;XVII
1185;Bartók Béla;utca;XVIII
1191;Bartók Béla;utca;XIX
1224;Bartók Béla;út;XXII
1225;Bartók Béla;út;XXII
1181;Bartók Lajos;utca;XVIII
1118;Bartoniek Géza;lépcső;XI
1171;Bartushegy;utca;XVII
1107;Basa;utca;X
1056;Bástya;utca;V
1185;Batár;utca;XVIII
1047;Báthory;utca;IV
1054;Báthory;utca;V
1152;Báthory;utca;XV
1174;Báthory;utca;XVII
1191;Báthory;utca;XIX
1196;Báthory;utca;XIX
1205;Báthory;utca;XX
1211;Báthory;utca;XXI
1224;Báthory;utca;XXII
1029;Bátori László;utca;II
1149;Báthori István;park;XIV
1165;Bátony;utca;XVI
1173;Bátor;utca;XVII
1148;Bátorkeszi;utca;XIV
1089;Batsányi;utca;VIII
1163;Batsányi János;út;XVI
1025;Battai;lépcső;II
1025;Battai;út;II
1011;Batthyány;tér;I
1015;Batthyány;utca;I
1039;Batthyány;utca;III
1047;Batthyány;utca;IV
1151;Batthyány;utca;XV
1161;Batthyány;utca;XVI
1174;Batthyány;utca;XVII
1195;Batthyány;utca;XIX
1196;Batthyány;utca;XIX
1225;Batthyány;utca;XXII
1239;Batthyány;utca;XXIII
1164;Batthyány Ilona;utca;XVI
1181;Batthyány Lajos;utca;XVIII
1182;Batthyány Lajos;utca;XVIII
1171;Battonya;utca;XVII
1171;Battonya;köz;XVII
1025;Batyu;utca;II
1086;Bauer Sándor;utca;VIII
1108;Bazalt;utca;X
1121;Bazin;utca;XII
1116;Bazsalikom;utca;XI
1141;Bazsarózsa;utca;XIV
1121;Beatrix;utca;XII
1105;Bebek;utca;X
1039;Bebo Károly;utca;III
1126;Beck Ö. Fülöp;utca;XII
1149;Beckó;utca;XIV
1165;Becő;utca;XVI
1023;Bécsi;út;II
1032;Bécsi;út;III
1034;Bécsi;út;III
1036;Bécsi;út;III
1037;Bécsi;út;III
1045;Bécsi;utca;IV
1052;Bécsi;utca;V
1014;Bécsi kapu;tér;I
1171;Becske;utca;XVII
1112;Bedő;utca;XI
1126;Beethoven;utca;XII
1022;Bég;utca;II
1202;Béga;utca;XX
1164;Begónia;utca;XVI
1038;Békahát;utca;III
1173;Békás-szoros;utca;XVII
1039;Béke;utca;III
1044;Béke;tér;IV
1131;Béke;utca;XIII
1135;Béke;utca;XIII
1139;Béke;tér;XIII
1182;Béke;tér;XVIII
1212;Béke;tér;XXI
1214;Béke;tér;XXI
1237;Béke;utca;XXIII
1162;Bekecs;utca;XVI
1181;Békéscsaba;utca;XVIII
1163;Békéshalom;utca;XVI
1088;Békési;utca;VIII
1173;Békésy György;tér;XVII
1174;Bél Mátyás;utca;XVII
1044;Béla;utca;IV
1161;Béla;utca;XVI
